JobID|JobName|Partition|State|Start|End|AllocNodes|AllocCPUS|NodeList
385319|jupyterhub|standalone|CANCELLED by 3581|2024-03-09T14:21:23|2024-03-09T23:02:28|1|1|arwen
385319.batch|batch||CANCELLED|2024-03-09T14:21:23|2024-03-09T23:03:00|1|1|arwen
385319.extern|extern||COMPLETED|2024-03-09T14:21:23|2024-03-09T23:02:28|1|1|arwen
385387|transcript_ner|jsteinhardt|FAILED|2024-03-09T21:07:13|2024-03-09T21:07:19|1|1|saruman
385387.batch|batch||FAILED|2024-03-09T21:07:13|2024-03-09T21:07:19|1|1|saruman
385387.extern|extern||COMPLETED|2024-03-09T21:07:13|2024-03-09T21:07:19|1|1|saruman
385395|transcript_ner|jsteinhardt|FAILED|2024-03-09T22:20:49|2024-03-09T22:20:57|1|1|saruman
385395.batch|batch||FAILED|2024-03-09T22:20:49|2024-03-09T22:20:57|1|1|saruman
385395.extern|extern||COMPLETED|2024-03-09T22:20:49|2024-03-09T22:20:58|1|1|saruman
385396|transcript_ner|jsteinhardt|FAILED|2024-03-09T22:26:19|2024-03-09T22:26:25|1|1|saruman
385396.batch|batch||FAILED|2024-03-09T22:26:19|2024-03-09T22:26:25|1|1|saruman
385396.extern|extern||COMPLETED|2024-03-09T22:26:19|2024-03-09T22:26:25|1|1|saruman
385397|transcript_ner|jsteinhardt|COMPLETED|2024-03-09T22:29:56|2024-03-09T22:30:02|1|1|saruman
385397.batch|batch||COMPLETED|2024-03-09T22:29:56|2024-03-09T22:30:02|1|1|saruman
385397.extern|extern||COMPLETED|2024-03-09T22:29:56|2024-03-09T22:30:03|1|1|saruman
385398|transcript_ner|jsteinhardt|COMPLETED|2024-03-09T22:31:08|2024-03-09T22:31:15|1|1|saruman
385398.batch|batch||COMPLETED|2024-03-09T22:31:08|2024-03-09T22:31:15|1|1|saruman
385398.extern|extern||COMPLETED|2024-03-09T22:31:08|2024-03-09T22:31:15|1|1|saruman
385399|transcript_ner|jsteinhardt|COMPLETED|2024-03-09T22:32:05|2024-03-09T22:33:20|1|1|saruman
385399.batch|batch||COMPLETED|2024-03-09T22:32:05|2024-03-09T22:33:20|1|1|saruman
385399.extern|extern||COMPLETED|2024-03-09T22:32:05|2024-03-09T22:33:20|1|1|saruman
385400|transcript_ner|jsteinhardt|COMPLETED|2024-03-09T22:44:47|2024-03-09T22:44:48|1|1|saruman
385400.batch|batch||COMPLETED|2024-03-09T22:44:47|2024-03-09T22:44:48|1|1|saruman
385400.extern|extern||COMPLETED|2024-03-09T22:44:47|2024-03-09T22:44:49|1|1|saruman
385401|transcript_ner|jsteinhardt|COMPLETED|2024-03-09T22:46:05|2024-03-09T22:47:18|1|1|saruman
385401.batch|batch||COMPLETED|2024-03-09T22:46:05|2024-03-09T22:47:18|1|1|saruman
385401.extern|extern||COMPLETED|2024-03-09T22:46:05|2024-03-09T22:47:18|1|1|saruman
385402|transcript_ner|jsteinhardt|COMPLETED|2024-03-09T22:56:34|2024-03-09T22:57:09|1|1|saruman
385402.batch|batch||COMPLETED|2024-03-09T22:56:34|2024-03-09T22:57:09|1|1|saruman
385402.extern|extern||COMPLETED|2024-03-09T22:56:34|2024-03-09T22:57:10|1|1|saruman
385403|transcript_ner|jsteinhardt|CANCELLED by 3581|2024-03-09T23:02:08|2024-03-09T23:02:28|1|1|saruman
385403.batch|batch||CANCELLED|2024-03-09T23:02:08|2024-03-09T23:02:32|1|1|saruman
385403.extern|extern||COMPLETED|2024-03-09T23:02:08|2024-03-09T23:02:28|1|1|saruman
385404|transcript_ner|jsteinhardt|CANCELLED by 3581|2024-03-09T23:02:16|2024-03-09T23:02:28|1|1|saruman
385404.batch|batch||CANCELLED|2024-03-09T23:02:16|2024-03-09T23:02:30|1|1|saruman
385404.extern|extern||COMPLETED|2024-03-09T23:02:16|2024-03-09T23:02:28|1|1|saruman
385405|transcript_ner|jsteinhardt|COMPLETED|2024-03-09T23:02:40|2024-03-09T23:03:13|1|1|saruman
385405.batch|batch||COMPLETED|2024-03-09T23:02:40|2024-03-09T23:03:13|1|1|saruman
385405.extern|extern||COMPLETED|2024-03-09T23:02:40|2024-03-09T23:03:13|1|1|saruman
385406|transcript_ner_no_gpu|low|NODE_FAIL|2024-03-09T23:06:19|2024-03-09T23:06:30|1|1|scf-sm10
385406.batch|batch||CANCELLED|2024-03-09T23:06:19|2024-03-09T23:08:16|1|1|scf-sm10
